	original_question	original_answer	translated_question	translated_answer	percent_replaced	spanish_vocab	category

491	what hizo mira ¿como?	Imagen de verde trees	what did it look like?	picture of green trees	75.0	['verde', 'imagen', 'de']	2

492	How often lately has él been tardy?	Three times este week.	How often lately has he been tardy?	Three times this week.	25.0	['este']	0

493	por qué couldnt his barco leave the ¿puerto?	El viento causado by Mount Vesubio	why couldnt his ship leave the port?	The wind caused by Mount Vesuvius	66.67	['causado', 'viento', 'el', 'vesubio']	1

494	What's el población combinada?	alrededor 17 millón	What's the combined population?	around 17 million	100.0	['17', 'alrededor', 'millón']	2

495	What form the Koreanic family?	Korean and es extinct relatives	What form the Koreanic family?	Korean and its extinct relatives	20.0	['es']	0

496	What do they hacer ¿en cambio?	Play in the país y viejo towns.	What do they do instead?	Play in the country and old towns.	42.86	['y', 'viejo', 'país']	1

497	How es cómo much a la persona es dado ¿decidido?	it's basado en la contribución de uno	How is how much a person is given decided?	it's based on one's contribution	80.0	['basado', 'la', 'uno', 'de', 'contribución', 'en']	2

498	what else did Dale and Andy bring?	a tin dipper	what else did Dale and Andy bring?	a tin dipper	33.33	['a']	0

499	Quien flotó down el halls?	Inez y Margaret	Who flitted down the halls?	Inez and Margaret	66.67	['y', 'margaret']	1

500	y después ¿eso?	al río	and after that?	to the river	100.0	['río', 'al']	2

501	What compañía did he start?	the Eastman Kodak Company	What company did he start?	the Eastman Kodak Company	0.0	[]	0

502	who creado ¿él?	Brian Moore and Chris Panadero	who created it?	Brian Moore and Chris Baker	40.0	['panadero', 'chris']	1

503	¿Quién estaba bien?	alguien Que compatible Van Buren	Who was OK?	anyone who supported Van Buren	100.0	['alguien', 'que', 'van', 'compatible', 'buren']	2

504	what es he trying to figure out ?	the role of it	what is he trying to figure out ?	the role of it	25.0	['role']	0

505	what is Indias nombre completo	República of India	what is Indias full name	Republic of India	66.67	['india', 'república']	1

506	Qué es el rango de años in that ¿período?	entre 6000 y 5000 BCE	What is the range of years in that period?	between 6000 and 5000 BCE	80.0	['y', '5000', 'entre', '6000']	2

507	What is I-Report meant for?	involve citizens in el periódico process	What is I-Report meant for?	involve citizens in the newsgathering process	33.33	['periódico', 'el']	0

508	qué hizo he win?	Varios humanos rights	what did he win?	several human rights	66.67	['varios', 'humanos']	1

509	what es el ¿nombre?	Mar del Norte wind granja	what is the name?	The North Sea wind farm	80.0	['norte', 'del', 'granja', 'mar']	2

510	What did they see as they started home?	that Ana and Susan left	What did they see as they started home?	that Anne and Susan left	20.0	['ana']	0

511	What se pregunta la señorita mohun to do?	to ir caza de casas	What is Miss Mohun asked to do?	to go house-hunting	66.67	['ir', 'casas', 'caza', 'de']	1

512	What hizo él do ¿En mayo de 2000?	flotado su sitio web	What did he do in May 2000?	floated his own website	100.0	['su', 'flotado', 'web', 'sitio']	2

513	please name them	endoderm, mesoderm, and ectoderm	please name them	endoderm, mesoderm, and ectoderm	0.0	[]	0

514	Que estaba presidiendo over the case?	Juez Thokozile Masipa	Who was presiding over the case?	Judge Thokozile Masipa	66.67	['thokozile', 'juez']	1

515	What Tipo de isla is Santa Helena?	una isla tropical volcánica	What type of island is Saint Helena?	a volcanic tropical island	100.0	['una', 'isla', 'tropical', 'volcánica']	2

516	How much time could they have gotten?	nine a 12 years	How much time could they have gotten?	nine to 12 years	25.0	['a']	0

517	And fue donde?	The herboso pastar	And went where?	The grassy pasture	66.67	['herboso', 'pastar']	1

518	How long hizo ¿Les lleva a encontrarlo?	Acerca de una hora	How long did it take them to find him?	About an hour	100.0	['acerca', 'una', 'hora', 'de']	2

519	Why did he hacer that?	For a laugh	Why did he do that?	For a laugh	33.33	['a']	0

520	Qué hizo she tengo que eat?	leche and cereal	What did she have to eat?	milk and cereal	66.67	['leche', 'cereal']	1

521	Que era jugando el juego?	el equipo de Liverpool	Who was playing in the game?	the team from Liverpool	100.0	['liverpool', 'equipo', 'el', 'de']	2

522	Where are the shops busier?	On rue Bonaparte.	Where are the shops busier?	On rue Bonaparte.	0.0	[]	0

523	Dónde son they from?	Elementaria de Yorktown School	Where are they from?	Yorktown Elementary School	66.67	['elementaria', 'yorktown', 'de']	1

524	What era el Doctor wishes de sus alumnos?	cuidado de este lugar favorito	What was the Doc's wishes of his pupils?	care of this favourite spot	100.0	['cuidado', 'lugar', 'de', 'favorito', 'este']	2

525	What years were in the past?	the lean years	What years were in the past?	the lean years	0.0	[]	0

526	What the ¿CD contiene?	animaciones and tridimensional objects	What the CD contains?	animations and three-dimensional objects	50.0	['tridimensional', 'animaciones']	1

527	Qué el libro ¿tema?	Niños que crecen arriba	What's the book's theme?	children growing up	100.0	['crecen', 'niños', 'arriba', 'que']	2

528	Who were 2 de them?	Katniss and Peeta	Who were 2 of them?	Katniss and Peeta	0.0	[]	0

529	Winslow tiene miedo de que everybody is what?	más inteligente que him	Winslow is afraid that everybody is what?	smarter than him	66.67	['más', 'inteligente', 'que']	1

530	What tools Permitirle quitarse la cabeza ¿unidad?	a par de En forma de u devices	What tools allow you to remove a head unit?	a pair of U-shaped devices	80.0	['par', 'u', 'a', 'forma', 'de', 'en']	2

531	How is American society described?	a society of rapid change	How is American society described?	a society of rapid change	0.0	[]	0

532	ACCORDING A Que	Brecha Año company	ACCORDING TO WHO	Gap Year company	66.67	['brecha', 'año']	1

533	Cuáles son ¿ellos?	Persa, Pashto, Kurdo, y Balochi.	What are they?	Persian, Pashto, Kurdish, and Balochi.	80.0	['y', 'kurdo', 'persa', 'balochi']	2

534	what are they?	calcite and dolomita	what are they?	calcite and dolomite	33.33	['dolomita']	0

535	Donde they detour?	en the bosque	Where did they detour?	into the woods	66.67	['en', 'bosque']	1

536	cuando hizo ellos dejar otro trabajo en su OS?	en el finales de los años setenta	when did they let other work on their OS?	in the late 1970s	100.0	['años', 'los', 'setenta', 'de', 'el', 'finales', 'en']	2

537	qué is the challenge in this one?	To connect with votantes	what is the challenge in this one?	To connect with voters	25.0	['votantes']	0

538	Qué was the Ley de Constitución, 1867 previously called?	British Norte America Acto	What was the Constitution Act, 1867 previously called?	British North America Act	50.0	['norte', 'acto']	1

539	qué proceso es ser investigado?	El proceso de licitación	what process is being investigated?	The bidding process	100.0	['licitación', 'proceso', 'el', 'de']	2

540	How long tiene it been established?	Desde the Mesolithic period.	How long has it been established?	Since the Mesolithic period.	25.0	['desde']	0

541	cómo did they view la situación?	Como that de uno young cariño rescued by the otro.	how did they view the situation?	As that of one young sweetheart rescued by the other.	50.0	['como', 'otro', 'uno', 'cariño', 'de']	1

542	¿Qué es otra cosa que él ¿hace?	it negocia tratados y agreements con entidades extranjeras	What is something else that it does?	it negotiates treaties and agreements with foreign entities	75.0	['entidades', 'con', 'extranjeras', 'tratados', 'negocia', 'y']	2

543	What is the main organization featured in this article?	Reach to Teach	What is the main organization featured in this article?	Reach to Teach	0.0	[]	0

544	¿Dónde incident take place?	Estado de Texas highway 6	Where did the incident take place?	Texas state highway 6	50.0	['estado', 'texas', 'de']	1

545	¿Por qué él capaz to ¿hoy?	fácil a encontrarse a ellos here	Why was he able to today?	easy to meet them here	80.0	['ellos', 'fácil', 'a', 'encontrarse']	2

546	What is another ¿registro?	Most telephone libros torn.	What is another record?	Most telephone books torn.	25.0	['libros']	0

547	dónde did Señor. Bingley buy an ¿bienes?	en neighbouring condado a Derbyshire	where did Mr. Bingley buy an estate?	in a neighbouring county to Derbyshire	66.67	['en', 'condado', 'a']	1

548	Por cómo largo fue el huelguista not permitido jugar?	por cuatro meses	For how long was the striker not allowed to play?	for four months	100.0	['cuatro', 'por', 'meses']	2

549	What is él considered the importante financial center ¿de?	Del sur Europe and the Iberian Peninsula	What is it considered the major financial center of?	Southern Europe and the Iberian Peninsula	16.67	['sur', 'del']	0

550	When era ¿eso?	earlier este mes	When was that?	earlier this month	66.67	['mes', 'este']	1

551	How lo hizo get cosas en ¿orden?	William otorgada tierras a su seguidores y castillos construidos dominante puntos fuertes militares en toda la tierra.	How did he get things in order?	William granted lands to his followers and built castles commanding military strongpoints throughout the land.	100.0	['otorgada', 'puntos', 'militares', 'su', 'la', 'tierra', 'fuertes', 'a', 'tierras', 'seguidores', 'dominante', 'toda', 'y', 'castillos', 'en', 'william', 'construidos']	2

552	Who are his ¿padres?	Maria and Joseph Ratzinger	Who are his parents?	Maria and Joseph Ratzinger	25.0	['ratzinger']	0

553	What muchos dicen eso it ayuda develop?	Children's sentido de value	What do many say that it helps develop?	Children's sense of value	50.0	['de', 'sentido']	1

554	Cómo Muchos de su grupo piensan altamente de McAuliffe?	"dos tercios de los demócratas - his own fiesta -- Considéralo ""Honesto y trustworthy."	How many of his group think highly of McAuliffe?	"two-thirds of Democrats -- his own party -- consider him ""honest and trustworthy."	76.92	['fiesta', 'considéralo', 'los', 'tercios', 'y', 'de', 'honesto', 'dos', 'demócratas']	2

555	Por qué hizo he decide to learn?	family problem in his 90s	Why did he decide to learn?	family problem in his 90s	20.0	['90s']	0

556	What Tipos de cable were ¿usado?	fibre óptico and cobre	What types of cable were used?	fibre optic and copper	50.0	['óptico', 'cobre']	1

557	Qué es él el capitán de?	El De los rovers casa flotante.	What is he the captain of?	The Rovers' houseboat.	100.0	['rovers', 'los', 'flotante', 'el', 'de', 'casa']	2

558	What kind of classes does he take?	law and music.	What kind of classes does he take?	law and music.	0.0	[]	0

559	what hizo este dirigir to?	a favorable efecto en el fortunes of the viejo monarch	what did this lead to?	a favorable effect on the fortunes of the old monarch	40.0	['efecto', 'en', 'viejo', 'el']	1

560	Cómo muchos asistir el monumento anual?	más de 19,9 millones	How many attend the yearly Memorial?	more than 19.9 million	100.0	['millones', 'más', '199', 'de']	2

561	What else did he talk to them about?	how they could improve	What else did he talk to them about?	how they could improve	0.0	[]	0

562	what es the nombre de the second-oldest secondary ¿escuela?	Hartford Alto público School	what is the name of the second-oldest secondary school?	Hartford Public High School	50.0	['alto', 'público']	1

563	Quien oferta a él ¿Un adiós fuerte?	el Contar of Cifuentes	Who bid him a hefty goodbye?	the Count of Cifuentes	75.0	['cifuentes', 'contar', 'el']	2

564	during what ¿conflicto?	El Russian Civil War.	during what conflict?	The Russian Civil War.	25.0	['el']	0

565	Qué did su mom ¿hacer?	permaneció in Shenyang	What did his mom do?	stayed in Shenyang	66.67	['shenyang', 'permaneció']	1

566	Qué es su lleno ¿nombre?	Leonardo di ser Piero da Vinci	What is his full name?	Leonardo di ser Piero da Vinci	83.33	['ser', 'di', 'piero', 'da', 'leonardo']	2

567	And when did it end?	11,700 years ago.	And when did it end?	11,700 years ago.	0.0	[]	0

568	Does intenta traducir personajes, or sound them ¿afuera?	Sonido them afuera.	Does it attempt to translate characters, or sound them out?	Sound them out.	66.67	['afuera', 'sonido']	1

569	Qué son su nombres?	Hannibal y Mohamed	What are their names?	Hannibal and Mohamed	100.0	['y', 'mohamed', 'hannibal']	2

570	Eran they friends?	I think they admired each other.Maybe not friends.	Were they friends?	I think they admired each other.Maybe not friends.	12.5	['i']	0

571	What ¿Ben quería? Tom to hacer with him?	a ir swimming	What did Ben want Tom to do with him?	to go swimming	66.67	['ir', 'a']	1

572	Bajo cuyo administración es esta es una prioridad?	Presidente Barack Obama	Under whose administration is this a priority?	President Barack Obama	100.0	['barack', 'obama', 'presidente']	2

573	how is he compensated?	with a diario dinner	how is he compensated?	with daily dinner	33.33	['a', 'diario']	0

574	who dirige ¿a ellos?	House Minoría Líder John Boehner	who leads them?	House Minority Leader John Boehner	60.0	['líder', 'boehner', 'minoría']	1

575	como haría ellos conseguir ¿allá?	en un automóvil	how would they get there?	in an automobile	100.0	['en', 'un', 'automóvil']	2

576	What is el nombre of the group?	he New Delhi-based Centre for Science and Environment	What is the name of the group?	he New Delhi-based Centre for Science and Environment	0.0	[]	0

577	What es genial being human?	we get to be awake a través de todo las estaciones.	What is great about being human?	we get to be awake through all the seasons.	44.44	['través', 'las', 'a', 'todo', 'de', 'estaciones']	1

578	Cuando hacer turistas generalmente ir ¿allá?	las vacaciones de invierno estación	When do tourists usually go there?	the winter holiday season	100.0	['vacaciones', 'las', 'estación', 'de', 'invierno']	2

579	what had Tom discovered?	a great law of human action	what had Tom discovered?	a great law of human action	16.67	['a']	0

580	What did criadores look for cuando se reproduce?	fast crecimiento, capacidad de puesta de huevo, conformación, plumage and docility	What did breeders look for when breeding?	fast growth, egg-laying ability, conformation, plumage and docility	50.0	['capacidad', 'huevo', 'crecimiento', 'puesta', 'de', 'conformación']	1

581	Is el nido de bebé?	Hace un lío	Is the baby neat?	It makes a mess	100.0	['lío', 'hace', 'un']	2

582	How does a vista revisada characterized the essential agon of comedy?	as a struggle between a relatively powerless youth y el social convenciones that pose obstacles to his hopes	How does a revised view characterized the essential agon of comedy?	as a struggle between a relatively powerless youth and the societal conventions that pose obstacles to his hopes	22.22	['y', 'social', 'el', 'convenciones']	0

583	What are su símbolos?	thunderbolt, águila, bull, y oak	What are his symbols?	thunderbolt, eagle, bull, and oak	40.0	['y', 'águila']	1

584	Qué es Santiago?	a Pescador cubano	What is Santiago?	a Cuban fisherman	100.0	['pescador', 'a', 'cubano']	2

585	What did he know about Jeremie?	Jeremie will be there	What did he know about Jeremie?	Jeremie will be there	0.0	[]	0

586	Cuando what'd él do?	perseguido after a ardiente	When what'd it do?	chased after a chipmunk	50.0	['perseguido', 'ardiente']	1

587	donde esta ¿situado?	Los Ángeles, California.	where is it located?	Los Angeles, California.	100.0	['ángeles', 'california', 'los']	2

588	What is él called?	The University of Iowa Hospitals and Clinics	What is it called?	The University of Iowa Hospitals and Clinics	0.0	[]	0

589	¿Por qué fue tan? dangerous for Americans to go in?	They were expecting to ser atacó cualquier time	Why was it so dangerous for Americans to go in?	They were expecting to be attacked any time	37.5	['cualquier', 'atacó', 'ser']	1

590	What does Katherine hace en el ¿vacaciones?	regalo neto certificado	What does Katherine make on the holidays?	net gift certificate	100.0	['regalo', 'neto', 'certificado']	2

591	Who shares controlling factors?	Sahrawi árabe Democratic Republic Morocco	Who shares controlling factors?	Sahrawi Arab Democratic Republic Morocco	20.0	['árabe']	0

592	Y que Él hace while doing that?	he hit su codo on la mesa	And what'd he do while doing that?	he hit his elbow on the table	57.14	['la', 'mesa', 'su', 'codo']	1

593	es alguno parte del country ¿pobre?	a significativo proporción del population remains pobre	is any part of the country poor?	a significant proportion of the population remains poor	75.0	['significativo', 'del', 'a', 'proporción', 'pobre']	2

594	How did that ayuda him?	Él made him a persona who studied and explored the secrets in the food business	How did that help him?	It made him a person who studied and explored the secrets in the food business	13.33	['él', 'persona']	0

595	Who is in ¿Cargo de las tropas de nosotros y de la OTAN?	Género John Allen	Who is in charge of US and NATO troops?	Gen. John Allen	66.67	['allen', 'género']	1

596	Que era el el Príncipe ¿de?	Príncipe de Naranja	What was he the Prince of?	Prince of Orange	100.0	['naranja', 'príncipe', 'de']	2

597	Qué would Veronique have with her?	articles of vestido	What would Veronique have with her?	articles of dress	33.33	['vestido']	0

598	What ¿Podrías conseguir a promotion for?	For gallantry o de otra manera	What could you get a promotion for?	For gallantry or otherwise	50.0	['otra', 'manera', 'de', 'o']	1

599	Cuando él era diagnosticado con ¿cáncer?	su sénior año in escuela secundaria	When was he diagnosed with cancer?	his senior year in high school	83.33	['secundaria', 'su', 'año', 'sénior', 'escuela']	2

600	What es el flat-backed used in?	Irish, británico and brasileño folk music	What is the flat-backed used in?	Irish, British and Brazilian folk music	33.33	['británico', 'brasileño']	0

601	Por cómo long?	almost 20 años	For how long?	almost 20 years	66.67	['años', '20']	1

602	Por qué did ella Di que iba a venir ¿íntimamente?	Because Ella estaba sola y buscado a join en his luz.	Why did she say she was coming closer?	Because she was lonely and wanted to join in his light.	72.73	['sola', 'a', 'estaba', 'ella', 'luz', 'y', 'en', 'buscado']	2

603	What was interesting about Andy y Randy?	ellos were twins	What was interesting about Andy and Randy?	they were twins	33.33	['ellos']	0

604	Quien dio up during the ¿caza mayor?	high escuela atletismo coach	Who gave up during the big game?	high school athletics coach	50.0	['escuela', 'atletismo']	1

605	Hasta dónde aparte son ¿ellos?	30 kilómetros (18 millas)	how far apart are they?	30 kilometres (18 miles)	75.0	['millas', 'kilómetros', '18']	2

606	where were they found?	in a garage	where were they found?	in a garage	0.0	[]	0

607	Why did they ir al parque?	a volar a kite	Why did they go to the park?	to fly a kite	50.0	['a', 'volar']	1

608	Cómo muchos agujas hizo él help with?	300 por siete wickets	How many points did he help with?	300 for seven wickets	100.0	['300', 'por', 'wickets', 'siete']	2

609	People pertenecer a what could wear that?	The Order for galantería	People belonging to what could wear that?	The Order for gallantry	25.0	['galantería']	0

610	Que era the nombre de it?	it llamado digimon World	What was the name of it?	it called Digimon World	50.0	['digimon', 'llamado']	1

611	quien era ¿ella?	"miembro de ""El joven y el Inquieto"" elenco"	who was she?	"member of ""The Young and the Restless"" cast"	100.0	['inquieto', 'elenco', 'de', 'el', 'y', 'joven', 'miembro']	2

612	where did he work?	at el prison	where did he work?	at the prison	33.33	['el']	0

613	En what ¿país?	el United Estados	In what country?	the United States	66.67	['el', 'estados']	1

614	Qué hizo el dice a Maraton?	Tenemos escuchó a muchos de ustedes, señor Maraton,	What did he say to Maraton?	We've heard a lot of you, Mr. Maraton,	87.5	['ustedes', 'muchos', 'tenemos', 'escuchó', 'maraton', 'de', 'señor']	2

615	Qué would ellos hacen if there was a storm?	Dan would have to stay on the bus	What would they do if there was a storm?	Dan would have to stay on the bus	0.0	[]	0

616	Tener the cargos gone ¿lejos?	The charges themselves have not ha sido caído, agregó Cecil. No	Have the charges gone away?	The charges themselves have not been dropped, Cecil added. No	40.0	['caído', 'cecil', 'sido', 'ha', 'agregó']	1

617	Cuando he neto ¿Un tiro libre?	el 29 minuto	When did he net a free-kick?	the 29th minute	100.0	['29', 'el', 'minuto']	2

618	What did he hacer with it?	he tossed it	What did he do with it?	he tossed it	0.0	[]	0

619	What son ¿ellos?	CZ12 y Chinese Zodíaco	What are they?	CZ12 and Chinese Zodiac	50.0	['y', 'zodíaco']	1

620	Cómo mucho de el Americano población es transgénero?	0.25 a 0.5 por ciento	How much of the American population is transgendered?	0.25 to 0.5 percent	75.0	['ciento', 'por', 'a', '025']	2

621	what does mya stand for?	million years ago	what does mya stand for?	million years ago	0.0	[]	0

622	Quienes eran the otro people ¿involucrado?	NhRP spokeswoman Stacey doss	Who were the other people involved?	NhRP spokeswoman Stacey Doss	50.0	['doss', 'stacey']	1

623	Cuáles son the nombres de the dos ¿países?	China y Rusia	What are the names of the two countries?	China and Russia	100.0	['y', 'china', 'rusia']	2

624	who was responsible for it there?	John and Charles Wesley	who was responsible for it there?	John and Charles Wesley	0.0	[]	0

625	Dónde were they ¿hablando?	In el pasillo.	Where were they talking?	In the hallway.	66.67	['pasillo', 'el']	1

626	What es su ¿Título oficial?	Secretario de Estado	What is his official title?	Secretary of State	100.0	['estado', 'secretario', 'de']	2

627	Where were the mom and dad?	ellos passed away	Where were the mom and dad?	they passed away	33.33	['ellos']	0

628	What happened a a él afterwards?	Saúl is killed en battle	What happened to him afterwards?	Saul is killed in battle	40.0	['en', 'saúl']	1

629	What diferenciar el ¿Deventa?	La compresión con pérdida reduce los bits identificando información innecesaria y removing it	What differentiate the Lossy?	Lossy compression reduces bits by identifying unnecessary information and removing it	81.82	['compresión', 'bits', 'la', 'identificando', 'con', 'los', 'pérdida', 'reduce', 'y', 'innecesaria', 'información']	2

630	What happened in el car?	It flipped into Utah river, leaving Lily hanging upside down.	What happened in the car?	It flipped into a Utah river, leaving Lily hanging upside down.	18.18	['utah']	0

631	Who hizo Gif catch por el shoulder?	the former bulto de el Sala	Who did Gif catch by the shoulder?	the former bully of the Hall	66.67	['sala', 'el', 'de', 'bulto']	1

632	Por qué quería ellos necesitar hacer this?	antes a alimento escasez	Why would they need to do this?	before a food shortage	100.0	['antes', 'a', 'escasez', 'alimento']	2

633	Dónde did he llevar his cello?	punk rock clubs	Where did he take his cello?	punk rock clubs	0.0	[]	0

634	Que is ser questioned?	el stage conductor.	Who is being questioned?	the stage driver.	66.67	['el', 'conductor']	1

635	Please Nombra los países que lo bordean.	Polonia and el República Checa	Please name the countries that border it.	Poland  and the Czech Republic	80.0	['polonia', 'checa', 'el', 'república']	2

636	what is the name de Jackie Chan's charitable organization?	Jackie Chan Charitable Foundation	what is the name of Jackie Chan's charitable organization?	Jackie Chan Charitable Foundation	25.0	['chan']	0

637	Who ¿Lo tradujo?	Confederation of Estudiantes iraníes en Washington	Who translated it?	Confederation of Iranian Students in Washington	66.67	['estudiantes', 'washington', 'iraníes', 'en']	1

638	¿Qué es único? her?	Ella wrote su first song Mantener tu Dirígete cuando ella tenía 12 años	What is unique about her?	She wrote her first song Keep Your Head Up when she was 12	76.92	['su', 'tenía', 'años', 'dirígete', 'cuando', 'ella', 'tu', 'mantener', '12']	2

639	How long had Flores been under surveillance?	since July 2005	How long had Flores been under surveillance?	since July 2005	0.0	[]	0

640	what es él then?	You might Digamos que es un antisocial network.	what is it then?	You might say it's an anti-social network.	57.14	['antisocial', 'digamos', 'un', 'que', 'es']	1

641	Qué es ¿acontecimiento?	Oscar Pistorius asesinó a su girlfriend	What is happening?	Oscar Pistorius murdered his girlfriend	80.0	['oscar', 'asesinó', 'su', 'pistorius', 'a']	2

642	What hizo that tell him?	Ellos had been in use.	What did that tell him?	They had been in use.	20.0	['ellos']	0

643	qué is NBC	a television red	what is nbc	a television network	66.67	['red', 'a']	1

644	Que hizo el search ¿a través de?	a basura poder	What did he search through?	a trash can	100.0	['poder', 'basura', 'a']	2

645	who was prime ¿ministro?	M. le Duc d'Aumont	who was prime minister?	M. le Duc d'Aumont	0.0	[]	0

646	Who era ¿perdido?	Snorro y Olaf	Who was lost?	Snorro and Olaf	66.67	['y', 'olaf']	1

647	¿Por qué razón?	"the los perpetradores ""tenían nada hacer,"	For what reason?	"the perpetrators ""had nothing to do,"	83.33	['hacer', 'tenían', 'nada', 'perpetradores', 'los']	2

648	How many places did she search?	Three and she kept looking.	How many places did she search?	Three and she kept looking.	0.0	[]	0

649	Where lo hizo go there?	Que bien post.	Where did he go there?	That fine post.	66.67	['bien', 'que']	1

650	Qué hicieron ¿comer?	embutido y huevos.	What did they eat?	sausage and eggs.	100.0	['y', 'embutido', 'huevos']	2

651	What would these questions cause?	the truth would come out	What would these questions cause?	the truth would come out	0.0	[]	0

652	What was Cowboy Bob doing?	riding alrededor on su caballo	What was cowboy Bob doing?	riding around on his horse	60.0	['alrededor', 'su', 'caballo']	1

653	Quién es que ha designado a ellos como terroristas?	el Consejo de Seguridad de las Naciones Unidas, la Organización del Tratado del Atlántico Norte (OTAN), la Unión Europea, la United Estados, Rusia, India, y Varios otros países	Who is it that has Designated them as Terrorists?	the United Nations Security Council, the North Atlantic Treaty Organization (NATO), the European Union, the United States, Russia, India, and various other countries	95.65	['naciones', 'organización', 'varios', 'consejo', 'las', 'india', 'unión', 'otros', 'unidas', 'atlántico', 'otan', 'estados', 'norte', 'de', 'el', 'tratado', 'rusia', 'la', 'del', 'seguridad', 'países', 'y', 'europea']	2

654	How did the kid react?	He rechazado to talk	How did the kid react?	He refused to talk	25.0	['rechazado']	0

655	When was el gran ¿Premio?	May 31, 2015	When was the Grand Prix?	May 31st, 2015	66.67	['2015', '31']	1

656	¿Qué era la de laporte? ¿realización?	UV-C La luz es más rápida para matar bacterias Y virus	What was LaPorte's realization?	UV-C light is fastest to kill bacteria & viruses	100.0	['para', 'más', 'la', 'uvc', 'virus', 'matar', 'y', 'luz', 'bacterias', 'es', 'rápida']	2

657	How does he feel about Matthew?	he is fantastic	How does he feel about Matthew?	he is fantastic	0.0	[]	0

658	Qué are el other two?	"""¿Cómo?"" y ""Why?"""	What are the other two?	"""How?"" and ""Why?"""	66.67	['y', 'cómo']	1

659	Quien fundó el KMT?	Canción jiaoren and Sol yat-sen	Who founded the KMT?	Song Jiaoren and Sun Yat-sen	80.0	['canción', 'yatsen', 'jiaoren', 'sol']	2

660	Where does he get grabbed?	His left ear.	Where does he get grabbed?	His left ear.	0.0	[]	0

661	Qué other movie El atuendo hizo he ¿compra?	Metro-Goldwyn-Mayer film estudio	What other movie outfit did he purchase?	Metro-Goldwyn-Mayer film studio	66.67	['metrogoldwynmayer', 'estudio']	1

662	Que colores eran they?	rosa, verde, rojo y amarillo	what colors were they?	pink, green, red, and yellow	100.0	['rosa', 'y', 'rojo', 'verde', 'amarillo']	2

663	How does the USAF articulate is centro functions?	as Nuclear Deterrence Operations, Special Operations, Air Superioridad, global Integrated ISR, Espacio Superioridad, comando and Control, Cyberspace Superiority, Personnel Recovery, Global Precision Attack, Building Partnerships, Rapid Global Mobility and Agile Combat Support.	How does the USAF articulate is core functions?	as Nuclear Deterrence Operations, Special Operations, Air Superiority, Global Integrated ISR, Space Superiority, Command and Control, Cyberspace Superiority, Personnel Recovery, Global Precision Attack, Building Partnerships, Rapid Global Mobility and Agile Combat Support.	15.62	['global', 'comando', 'espacio', 'superioridad']	0

664	Qué sobre un company that is not listed?	público no cotizado company	What about a company that is not listed?	unlisted public company	66.67	['cotizado', 'público', 'no']	1

665	Who eran el announcers para el artículo?	Fe lapidus y Doug Johnson	Who were the announcers for the article?	Faith Lapidus and Doug Johnson	100.0	['lapidus', 'fe', 'johnson', 'doug', 'y']	2

666	What is China now called?	People's Republic of Porcelana	What is China now called?	People's Republic of China	25.0	['porcelana']	0

667	What La tragedia sucedió cuando he was young?	his abuelo was put en prisión por tomar money.	What tragedy happened when he was young?	his grandfather was put into prison for taking money.	55.56	['abuelo', 'tomar', 'por', 'prisión', 'en']	1

668	Donde ella llevar ¿a él?	en Su apartamento	where did she take him?	into her apartment	100.0	['apartamento', 'en', 'su']	2

669	Dónde did they find his body?	outside a home	Where did they find his body?	outside a home	0.0	[]	0

670	What's algo they trabajó ¿a través de?	Un desglose de communication with the líderes.	What's something they worked through?	A breakdown of communication with the leaders.	57.14	['desglose', 'un', 'de', 'líderes']	1

671	Cuando the .com Crash Ocurre?	In el tarde Década de 1990	When did the .com crash happen?	In the late 1990s	75.0	['tarde', 'década', 'el', 'de', '1990']	2

672	En what manner?	en a drunken fit	In what manner?	in a drunken fit	25.0	['en']	0

673	Y cuando haz el rich and famous go often?	during la Navidad y new year period.	And when do the rich and famous go often?	during the Christmas and new year period.	42.86	['la', 'navidad', 'y']	1

674	Que fue ¿acerca de?	Tácito dependencia sobre su tío book	what was it about?	Tacitus’s reliance upon his uncle's book	83.33	['tío', 'su', 'dependencia', 'sobre', 'tácito']	2

675	Where is that?	central-southern Mesopotamia (present-day Iraq).	Where is that?	central-southern Mesopotamia (present-day Iraq).	0.0	[]	0

676	Which company imported esas máquinas?	Tecnologías de Zinox Ltd	Which company imported those machines?	Zinox Technologies Ltd	66.67	['tecnologías', 'de', 'zinox']	1

677	when es la segunda temporada disponible on ¿DVD?	en unos pocos meses	when is the second season available on DVD?	in a few months	100.0	['unos', 'en', 'meses', 'pocos']	2

678	how was he ¿en cambio?	a adinerado Polish noble	how was he instead?	a wealthy Polish noble	25.0	['adinerado']	0

679	Que are el two presidencial hopefuls?	Barack Obama y John McCain	Who are the two presidential hopefuls?	Barack Obama and John McCain	40.0	['y', 'obama']	1

680	Cómo mucho tiempo podría llevar a cabo su actuar en la iglesia?	Menos que minuto	How long they could perform their act at the church?	Less than a minute	100.0	['menos', 'que', 'minuto']	2

681	What did su mother make?	biscuits and eggs	What did their mother make?	biscuits and eggs	0.0	[]	0

